"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/21/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/20/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/19/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/18/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/15/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/14/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/13/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/12/2017","146,000.00","146,000.00","150,000.00","142,000.00","","0.00%"
"09/11/2017","146,000.00","146,000.00","150,000.00","142,000.00","","1.39%"
"09/08/2017","144,000.00","144,000.00","148,000.00","140,000.00","","0.00%"
"09/07/2017","144,000.00","144,000.00","148,000.00","140,000.00","","0.00%"
"09/06/2017","144,000.00","144,000.00","148,000.00","140,000.00","","5.88%"
"09/05/2017","136,000.00","136,000.00","140,000.00","132,000.00","","5.43%"
"09/04/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"09/01/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/31/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/30/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/29/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/28/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/25/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/24/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/23/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.00%"
"08/22/2017","129,000.00","129,000.00","133,000.00","125,000.00","","0.78%"
"08/21/2017","128,000.00","128,000.00","132,000.00","124,000.00","","0.00%"
"08/18/2017","128,000.00","128,000.00","132,000.00","124,000.00","","0.00%"
"08/17/2017","128,000.00","128,000.00","132,000.00","124,000.00","","0.00%"
"08/16/2017","128,000.00","128,000.00","132,000.00","124,000.00","","0.00%"
"08/15/2017","128,000.00","128,000.00","132,000.00","124,000.00","","1.59%"
"08/14/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/11/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/10/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/08/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/07/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/04/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/03/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/02/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"08/01/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/31/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/28/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/27/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/26/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/25/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/24/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/21/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/20/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/19/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/18/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/17/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/14/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/13/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/12/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/11/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/10/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/07/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/06/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/05/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/04/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"07/03/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"06/30/2017","126,000.00","126,000.00","130,000.00","122,000.00","","0.00%"
"06/29/2017","126,000.00","126,000.00","130,000.00","122,000.00","","1.61%"
"06/28/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/27/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/26/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/23/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/22/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/21/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/20/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/19/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/16/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/15/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/14/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/13/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/12/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/09/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/08/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/07/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/06/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/05/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/02/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"06/01/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/31/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/30/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/26/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/25/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/24/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/23/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/22/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.00%"
"05/19/2017","124,000.00","124,000.00","128,000.00","120,000.00","","0.81%"
"05/18/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/17/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/16/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/15/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/12/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/11/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
"05/10/2017","123,000.00","123,000.00","127,000.00","119,000.00","","0.00%"
