Date,Open,High,Low,Close,Adj Close,Volume
2010-07-23,93.750000,93.750000,93.750000,93.750000,66.346512,0
2010-07-26,96.949997,96.949997,96.250000,96.250000,68.115746,200
2010-07-27,96.250000,96.250000,96.250000,96.250000,68.115746,0
2010-07-28,96.250000,96.250000,96.250000,96.250000,68.115746,0
2010-07-29,95.500000,95.500000,94.500000,94.500000,66.877281,600
2010-07-30,94.500000,94.500000,94.500000,94.500000,66.877281,0
2010-08-02,95.750000,96.349998,95.750000,96.349998,68.186508,300
2010-08-03,96.250000,96.500000,96.250000,96.500000,68.292664,1100
2010-08-04,96.500000,96.500000,96.500000,96.500000,68.292664,0
2010-08-05,96.500000,96.500000,96.500000,96.500000,68.292664,0
2010-08-06,97.599998,97.599998,96.849998,96.849998,68.540359,300
2010-08-09,97.199997,97.199997,96.550003,96.550003,68.328056,100
2010-08-10,96.550003,96.550003,96.550003,96.550003,68.328056,0
2010-08-11,93.000000,93.000000,93.000000,93.000000,65.815735,100
2010-08-12,93.000000,93.000000,93.000000,93.000000,65.815735,0
2010-08-13,91.750000,91.750000,91.750000,91.750000,64.931114,200
2010-08-16,91.250000,91.800003,90.500000,90.500000,64.046494,300
2010-08-17,92.250000,92.250000,92.250000,92.250000,65.284958,100
2010-08-18,92.250000,92.250000,92.250000,92.250000,65.284958,0
2010-08-19,92.250000,92.250000,92.250000,92.250000,65.284958,0
2010-08-20,92.250000,92.250000,92.250000,92.250000,65.284958,0
2010-08-23,92.250000,92.250000,92.250000,92.250000,65.284958,0
2010-08-24,92.250000,92.250000,92.250000,92.250000,65.284958,0
2010-08-25,88.699997,88.699997,88.449997,88.449997,62.595715,100
2010-08-26,88.449997,88.449997,88.449997,88.449997,62.595715,0
2010-08-27,91.449997,91.449997,91.449997,91.449997,64.718811,100
2010-08-30,91.449997,91.449997,91.449997,91.449997,64.718811,0
2010-08-31,91.449997,91.449997,91.449997,91.449997,64.718811,0
2010-09-01,91.449997,92.550003,91.449997,92.550003,65.497269,400
2010-09-02,94.599998,95.550003,94.599998,95.550003,67.620361,200
2010-09-03,96.250000,96.250000,95.449997,95.449997,67.549583,200
2010-09-07,95.449997,95.449997,95.449997,95.449997,67.549583,0
2010-09-08,93.800003,93.800003,93.800003,93.800003,66.381889,100
2010-09-09,95.000000,95.000000,95.000000,95.000000,67.231125,100
2010-09-10,95.000000,95.000000,95.000000,95.000000,67.231125,0
2010-09-13,101.150002,101.250000,101.150002,101.250000,71.654221,200
2010-09-14,101.250000,101.250000,101.250000,101.250000,71.654221,0
2010-09-15,101.250000,101.250000,101.250000,101.250000,71.654221,0
2010-09-16,103.050003,104.949997,103.050003,104.949997,74.272697,300
2010-09-17,104.769997,104.769997,104.769997,104.769997,74.145309,300
2010-09-20,104.769997,104.769997,104.769997,104.769997,74.145309,0
2010-09-21,107.000000,107.250000,107.000000,107.250000,75.900406,100
2010-09-22,107.250000,107.250000,107.250000,107.250000,75.900406,0
2010-09-23,105.250000,108.000000,104.260002,108.000000,76.431175,400
2010-09-24,109.000000,110.000000,109.000000,109.250000,77.315796,200
2010-09-27,110.949997,110.949997,107.099998,107.099998,75.794250,200
2010-09-28,107.099998,107.099998,107.099998,107.099998,75.794250,0
2010-09-29,107.099998,107.099998,107.099998,107.099998,75.794250,0
2010-09-30,107.099998,107.099998,107.099998,107.099998,75.794250,0
2010-10-01,107.099998,107.099998,107.099998,107.099998,75.794250,0
2010-10-04,107.099998,107.099998,107.099998,107.099998,75.794250,0
2010-10-05,105.500000,105.500000,105.500000,105.500000,74.661934,100
2010-10-06,107.000000,107.000000,107.000000,107.000000,75.723480,100
2010-10-07,109.500000,109.500000,109.500000,109.500000,77.492714,100
2010-10-08,112.000000,112.000000,112.000000,112.000000,79.261955,100
2010-10-11,113.000000,113.000000,113.000000,113.000000,79.969658,100
2010-10-12,113.000000,113.000000,113.000000,113.000000,79.969658,0
2010-10-13,113.000000,113.000000,113.000000,113.000000,79.969658,0
2010-10-14,117.949997,117.949997,117.949997,117.949997,83.472755,4100
2010-10-15,117.250000,117.250000,115.500000,115.500000,81.738892,700
2010-10-18,115.000000,115.000000,114.750000,114.750000,81.208122,300
2010-10-19,114.750000,114.750000,114.750000,114.750000,81.208122,0
2010-10-20,111.750000,113.000000,111.750000,113.000000,79.969658,200
2010-10-21,112.900002,112.900002,112.900002,112.900002,79.898880,200
2010-10-22,116.250000,116.250000,116.250000,116.250000,82.269676,100
2010-10-25,116.250000,116.250000,116.250000,116.250000,82.269676,0
2010-10-26,126.250000,127.360001,126.000000,126.000000,89.169693,700
2010-10-27,126.000000,126.000000,126.000000,126.000000,89.169693,0
2010-10-28,126.000000,126.000000,126.000000,126.000000,89.169693,0
2010-10-29,126.000000,126.000000,126.000000,126.000000,89.169693,0
2010-11-01,131.500000,131.500000,130.929993,131.250000,92.885101,14900
2010-11-02,133.750000,133.750000,133.750000,133.750000,94.654343,100
2010-11-03,133.750000,133.750000,133.750000,133.750000,94.654343,0
2010-11-04,137.750000,137.750000,137.350006,137.750000,97.485138,200
2010-11-05,137.000000,137.000000,137.000000,137.000000,96.954361,200
2010-11-08,137.000000,137.000000,137.000000,137.000000,96.954361,0
2010-11-09,139.750000,139.750000,139.000000,139.000000,98.369759,1200
2010-11-10,136.199997,136.199997,135.250000,135.250000,95.715889,500
2010-11-11,135.250000,135.250000,135.250000,135.250000,95.715889,0
2010-11-12,135.250000,135.250000,135.250000,135.250000,95.715889,0
2010-11-15,141.899994,141.899994,139.880005,140.750000,99.608215,4700
2010-11-16,140.750000,140.750000,140.750000,140.750000,99.608215,0
2010-11-17,140.750000,140.750000,140.750000,140.750000,99.608215,0
2010-11-18,145.500000,146.750000,145.500000,146.750000,103.854378,200
2010-11-19,146.750000,146.750000,146.750000,146.750000,103.854378,0
2010-11-22,147.500000,147.500000,147.500000,147.500000,104.385193,100
2010-11-23,141.250000,141.250000,139.750000,139.750000,98.900513,100
2010-11-24,142.000000,142.000000,142.000000,142.000000,100.492851,100
2010-11-26,142.000000,142.000000,142.000000,142.000000,100.492851,0
2010-11-29,138.250000,138.250000,136.000000,136.000000,96.246658,200
2010-11-30,135.000000,135.050003,135.000000,135.050003,95.574356,100
2010-12-01,135.050003,135.050003,135.050003,135.050003,95.574356,0
2010-12-02,149.460007,150.500000,149.460007,150.500000,106.508255,1100
2010-12-03,153.750000,153.750000,152.750000,152.750000,108.100563,100
2010-12-06,156.750000,160.000000,156.750000,160.000000,113.231384,400
2010-12-07,160.250000,160.250000,158.250000,158.250000,111.992912,200
2010-12-08,154.000000,154.000000,151.000000,151.250000,107.039024,200
2010-12-09,145.500000,146.889999,145.500000,146.889999,103.953484,400
2010-12-10,148.500000,148.500000,148.500000,148.500000,105.092850,300
2010-12-13,148.500000,148.500000,148.500000,148.500000,105.092850,0
2010-12-14,148.500000,148.500000,148.500000,148.500000,105.092850,0
2010-12-15,148.500000,148.500000,148.500000,148.500000,105.092850,0
2010-12-16,148.500000,148.500000,148.500000,148.500000,105.092850,0
2010-12-17,149.750000,149.750000,147.750000,147.750000,104.562096,100
2010-12-20,147.750000,147.750000,147.750000,147.750000,104.562096,0
2010-12-21,147.750000,147.750000,147.750000,147.750000,104.562096,0
2010-12-22,147.750000,147.750000,147.750000,147.750000,104.562096,0
2010-12-23,147.750000,147.750000,147.750000,147.750000,104.562096,0
2010-12-27,138.270004,140.000000,138.270004,140.000000,99.077438,300
2010-12-28,139.750000,139.750000,139.750000,139.750000,98.900513,100
2010-12-29,140.500000,142.500000,140.500000,142.500000,100.846687,200
2010-12-30,141.750000,141.750000,141.000000,141.000000,99.785149,400
2010-12-31,142.000000,142.000000,142.000000,142.000000,100.492851,100
2011-01-03,149.750000,149.750000,149.750000,149.750000,105.977493,100
2011-01-04,149.750000,149.750000,149.750000,149.750000,105.977493,0
2011-01-05,147.000000,147.000000,147.000000,147.000000,104.031319,100
2011-01-06,148.500000,148.580002,146.500000,146.500000,103.677475,1300
2011-01-07,149.750000,149.750000,149.750000,149.750000,105.977493,100
2011-01-10,148.250000,148.250000,148.000000,148.000000,104.739029,100
2011-01-11,153.000000,153.000000,153.000000,153.000000,108.277496,100
2011-01-12,154.750000,154.750000,154.750000,154.750000,109.515976,100
2011-01-13,155.000000,155.000000,155.000000,155.000000,109.692871,100
2011-01-14,155.000000,155.000000,155.000000,155.000000,109.692871,0
2011-01-18,158.500000,158.500000,158.500000,158.500000,112.169830,100
2011-01-19,158.000000,158.000000,158.000000,158.000000,111.815956,100
2011-01-20,152.750000,153.000000,152.750000,153.000000,108.277496,200
2011-01-21,153.000000,153.000000,153.000000,153.000000,108.277496,0
2011-01-24,151.000000,151.000000,147.000000,150.100006,106.225189,5600
2011-01-25,149.000000,150.630005,149.000000,150.630005,106.600250,8700
2011-01-26,153.800003,153.800003,153.800003,153.800003,108.843658,200
2011-01-27,153.179993,153.179993,153.179993,153.179993,108.404877,1000
2011-01-28,153.000000,153.000000,153.000000,153.000000,108.277496,100
2011-01-31,153.000000,153.000000,153.000000,153.000000,108.277496,0
2011-02-01,153.000000,153.000000,153.000000,153.000000,108.277496,200
2011-02-02,153.000000,153.000000,153.000000,153.000000,108.277496,0
2011-02-03,153.000000,153.000000,153.000000,153.000000,108.277496,0
2011-02-04,148.750000,148.750000,148.750000,148.750000,105.269775,100
2011-02-07,148.750000,148.750000,148.750000,148.750000,105.269775,0
2011-02-08,156.000000,156.500000,156.000000,156.000000,110.400581,200
2011-02-09,156.000000,157.250000,156.000000,157.250000,111.285202,100
2011-02-10,155.750000,156.750000,155.000000,155.000000,109.692871,300
2011-02-11,157.750000,158.500000,157.750000,158.500000,112.169830,200
2011-02-14,159.000000,159.000000,159.000000,159.000000,112.523666,100
2011-02-15,155.250000,155.250000,155.250000,155.250000,109.869812,100
2011-02-16,155.750000,155.750000,155.500000,155.500000,110.046745,100
2011-02-17,152.000000,152.000000,151.000000,151.000000,106.862091,100
2011-02-18,154.000000,154.000000,154.000000,154.000000,108.985184,100
2011-02-22,154.250000,154.250000,154.250000,154.250000,109.162109,100
2011-02-23,154.250000,154.250000,154.250000,154.250000,109.162109,0
2011-02-24,146.000000,146.000000,146.000000,146.000000,103.323631,100
2011-02-25,150.000000,150.750000,149.250000,149.250000,105.623642,200
2011-02-28,155.000000,155.000000,155.000000,155.000000,109.692871,100
2011-03-01,151.300003,151.300003,150.649994,150.649994,106.614388,2300
2011-03-02,150.649994,150.649994,150.649994,150.649994,106.614388,0
